__**ACTIVITY_DATA**__
playername	Number of characters	Number of words	Number of posts
**------------------------NIGHT 0------------------------**
Zoom Guy	1187	223	49
ThePopStarDude	580	119	28
Captain Thomas💙	72	17	4
Cameron	110	23	6
Pablo Smith	848	146	25
TehFriedWaffles	56	12	7
Glacier	271	44	13
Superb	553	109	21
Zaylok	62	14	3
Bum Soldier	447	92	17
Ahmaykmewsik	823	159	25
TheFloorIsEvil	227	46	10
404	171	35	8
Maurj	140	30	4
ZelRaat	380	61	14
True Scooby Snacks	278	54	10
MoreGooder	139	26	5
KnightSpecter	132	26	3
Dirty Spaceman	595	107	22
Maack	162	18	10
SUPAHSTAR CLOD	703	141	13
Snowva	112	24	4
Aytoms	11	2	1
**------------------------DAY 1------------------------**
Zoom Guy	2791	530	74
Superb	4854	946	144
Glacier	5790	1150	189
ZelRaat	15184	3002	410
Snowva	4201	827	75
Louie25	343	64	14
TehFriedWaffles	597	114	31
Maack	329	67	19
Captain Thomas💙	708	152	35
Bum Soldier	3224	677	128
True Scooby Snacks	1925	397	73
404	136	27	8
ThePopStarDude	2056	417	71
Pablo Smith	2134	423	55
Dirty Spaceman	2852	561	59
Ahmaykmewsik	3885	738	114
TheFloorIsEvil	329	59	12
MoreGooder	1989	415	59
monrebentibus	744	150	20
Cameron	165	33	4
KnightSpecter	79	17	5
Aytoms	4832	893	156
Zaylok	75	18	3
**------------------------NIGHT 1------------------------**
Aytoms	572	115	19
True Scooby Snacks	454	104	19
Glacier	556	114	14
Zoom Guy	751	149	31
Superb	473	100	16
Captain Thomas💙	644	128	27
Snowva	741	145	18
Pablo Smith	2280	435	51
Ahmaykmewsik	417	83	6
KnightSpecter	335	66	11
Dirty Spaceman	307	54	7
Maack	128	23	9
TehFriedWaffles	212	41	7
404	198	33	6
TheFloorIsEvil	1013	197	34
MoreGooder	112	22	4
Bum Soldier	264	52	9
Cameron	502	100	9
monrebentibus	383	73	10
ThePopStarDude	287	61	6
SUPAHSTAR CLOD	578	121	18
**------------------------DAY 2------------------------**
Zoom Guy	2135	411	83
Snowva	8773	1706	128
Aytoms	3959	835	202
Maack	418	90	18
Glacier	2235	433	57
Superb	7160	1390	125
TehFriedWaffles	645	133	19
Ahmaykmewsik	5781	1121	188
Captain Thomas💙	1301	246	29
ThePopStarDude	3447	673	78
Maurj	3769	719	42
Pablo Smith	7843	1566	173
True Scooby Snacks	511	111	24
monrebentibus	2816	564	45
MoreGooder	1929	393	45
Bum Soldier	4956	1003	167
Cameron	1195	229	27
SUPAHSTAR CLOD	4894	983	136
TheFloorIsEvil	450	88	18
404	2207	409	58
Zaylok	355	67	8
KnightSpecter	1416	274	45
Dirty Spaceman	1700	312	20
**------------------------NIGHT 2------------------------**
Zoom Guy	196	35	12
Snowva	98	20	4
Maurj	282	52	6
Captain Thomas💙	5	1	1
ThePopStarDude	363	69	11
MoreGooder	145	27	6
True Scooby Snacks	23	5	2
Cameron	95	17	2
404	43	9	4
Ahmaykmewsik	8	3	3
Louie25	279	56	6
Zaylok	0	1	1
Pablo Smith	1177	228	35
KnightSpecter	643	123	16
SUPAHSTAR CLOD	569	104	15
Dirty Spaceman	2295	456	40
TheFloorIsEvil	12	2	1
Kris Pringle	148	32	5
Aytoms	335	69	11
Maack	145	18	4
TehFriedWaffles	185	39	5
Bum Soldier	126	25	5
Glacier	2	1	1
**------------------------DAY 3------------------------**
Aytoms	3719	718	230
